             operation_id             | count
--------------------------------------+-------
 27336bb5-db37-45df-b520-da8f80186e90 |     5
 e85923d0-872c-47d9-9080-4a30330e1273 |     6
 dd3d569f-95df-429c-a402-ba8d61276408 |     1
 05bd5126-af1d-44e3-bca1-8a9fe72d8230 |     2
 c7f5cd2e-b38e-4022-9f05-03dbf686eccd |    18
 e25eebc0-8835-46df-82d7-4afde85de907 |    18
 d6a2deb6-2397-4f2c-8547-b53d947b14d0 |     2
 cf72b4d4-43e2-4ece-8d63-7b132856ed62 |     9
 eea861da-ddc9-4287-8d11-bb538a58ddbf |    41
 78d6a4fb-46d9-442f-b86c-6a4584d36f88 |     2
 bfafad44-bebb-4998-9139-d05da604f79b |    10
 20cfe2df-38fb-4786-a892-98d7b8a2dce7 |    19
 88860f39-d0f9-47a4-b9b7-00ceaab17dd9 |    19
 f5dcf226-08a8-4ba5-8fab-2d2377db746a |     3
 8b205010-8008-4c67-a168-2d08ce2d5820 |     3
 5b667a16-28e0-40f9-b7cf-3f1145e23771 |     3
 d5a283ba-4436-449f-b7ba-ad471ac11e09 |   112
 fbd52f88-2ed2-4724-8569-be64dbcbc58c |    46
 847c7092-c398-4146-b492-ac7a61e3a650 |     8
 51b96c8e-a670-4202-8513-670800bc2544 |     4
 21082e82-9fa6-47ca-bb9b-c41fd27a43ef |    44
 62b90384-851e-4297-91c2-8b9e48a67375 |     1
 d579ae6d-f0a9-46ff-8f54-ed3e9087f15b |     8
 ecceaf6c-d449-4b07-81a3-cad837eab4f6 |     9
 ddf905f5-44f7-4da6-85b8-446c3a3ff9f9 |     2
 c7ddb5c9-6756-4399-9785-44647fa86972 |    14
 46e10f38-5c3f-4f0b-bccb-4d31c5139180 |     5
 08c0b849-5cce-4fdc-96f1-3687c3fc5124 |    12
 352a2a39-ebb4-49ec-bfa4-499b3bba5ac6 |     2
 bb8abaa3-35e2-4a4f-b1b6-dd9ec8f51317 |     2
 1dca5298-f390-4060-bfbd-589c14e47a54 |     2
 d6033713-b349-4dc5-8195-3a767377a848 |     4
 a6658a17-ea1b-4a6d-b608-0931a576e37e |     2
 936a0f52-b84a-40fb-bea4-2dec1de37475 |     3
 61c34eb1-b1ac-49b3-8bab-ee37e638a4f3 |     3
 a230468f-48a5-4b75-b7d4-14961646bc53 |     1
 fa433deb-1e5a-4c2e-8bff-bec3535f8838 |     3
 2fac999f-d321-44a9-9d4f-d54ca81792a4 |     3
 5a0555fe-3dac-4387-92ee-72ee1f62796b |     2
(39 rows)
